,ThreadlineId,StartTime,EndTime,FaultLevel,FaultTypeName
0,143000067,2023-06-11 23:41:27.400,2023-06-12 00:00:27.400,2,Attalus Sensor Error
1,143000014,2023-06-11 23:44:18.200,2023-06-12 00:02:43.200,2,Process Instability Amp Mag (Package)
2,143000013,2023-06-11 23:44:18.200,2023-06-12 00:02:43.200,2,Process Instability Amp Mag (Package)
3,143000013,2023-06-11 23:44:18.200,2023-06-12 00:02:53.200,2,Amp Mag Drift
4,143000018,2023-06-11 23:44:19.200,2023-06-12 00:02:44.000,2,Process Instability Amp Mag (Package)
5,143000017,2023-06-11 23:44:19.200,2023-06-12 00:02:44.000,2,Process Instability Amp Mag (Package)
6,143000018,2023-06-11 23:44:19.200,2023-06-12 00:02:54.000,2,Amp Mag Drift
7,143000017,2023-06-11 23:44:19.200,2023-06-12 00:02:54.000,1,Amp Mag Drift
8,143000104,2023-06-11 23:54:33.400,2023-06-12 00:16:06.400,1,Amp Package Shift
9,143000108,2023-06-11 23:54:36.400,2023-06-12 00:16:08.400,1,Amp Package Shift
10,143000099,2023-06-11 23:55:14.600,2023-06-12 00:16:14.800,2,Amp Mag Drift
11,143000086,2023-06-11 23:57:03.600,2023-06-12 00:11:04.200,2,Process Instability Amp Mag (Package)
12,143000085,2023-06-11 23:57:03.600,2023-06-12 00:11:04.200,2,Process Instability Amp Mag (Package)
13,143000090,2023-06-11 23:57:06.000,2023-06-12 00:11:07.000,2,Process Instability Amp Mag (Package)
14,143000089,2023-06-11 23:57:06.000,2023-06-12 00:11:07.000,2,Process Instability Amp Mag (Package)
15,143000170,2023-06-11 23:57:50.000,2023-06-12 00:13:26.800,2,Reference - Node
16,143000171,2023-06-11 23:58:05.000,2023-06-12 00:01:05.000,2,Short Doff - Restring
17,143000170,2023-06-11 23:58:05.000,2023-06-12 00:01:50.000,2,Short Doff - Restring
18,143000081,2023-06-11 23:58:06.200,2023-06-12 00:18:12.800,1,Amp Package Shift
19,143000076,2023-06-11 23:58:09.400,2023-06-12 00:18:13.600,1,Amp Package Shift
20,143000009,2023-06-11 23:58:11.800,2023-06-12 00:02:14.800,2,Amp Mag Drift
21,143000008,2023-06-11 23:58:11.800,2023-06-12 00:02:14.800,2,Amp Mag Drift
22,143000004,2023-06-11 23:58:14.000,2023-06-12 00:02:11.000,2,Amp Mag Drift
23,143000005,2023-06-11 23:58:14.000,2023-06-12 00:02:11.800,2,Amp Mag Drift
24,143000081,2023-06-11 23:58:38.400,2023-06-12 00:18:02.800,1,Process Instability Amp Mag (Package)
25,143000077,2023-06-11 23:58:41.600,2023-06-12 00:18:03.600,2,Process Instability Amp Mag (Package)
26,143000058,2023-06-11 23:58:43.400,2023-06-12 00:18:07.600,2,Process Instability Amp Mag (Package)
27,143000059,2023-06-11 23:58:43.400,2023-06-12 00:18:17.600,2,Amp Mag Drift
28,143000058,2023-06-11 23:58:43.400,2023-06-12 00:18:17.600,2,Amp Mag Drift
29,143000063,2023-06-11 23:58:45.400,2023-06-12 00:18:10.200,2,Process Instability Amp Mag (Package)
30,143000063,2023-06-11 23:58:45.400,2023-06-12 00:18:20.200,2,Amp Mag Drift
31,143000062,2023-06-11 23:58:45.400,2023-06-12 00:18:20.200,2,Amp Mag Drift
32,143000170,2023-06-11 23:58:50.000,2023-06-12 00:12:50.000,2,Low Tack
33,143000067,2023-06-12 00:00:49.600,2023-06-12 00:19:49.600,2,Attalus Sensor Error
34,143000140,2023-06-12 00:01:39.600,2023-06-12 00:05:19.600,2,Short Doff - Restring
35,143000139,2023-06-12 00:01:39.600,2023-06-12 00:05:24.600,2,Short Doff - Restring
36,143000144,2023-06-12 00:01:43.800,2023-06-12 00:05:23.800,2,Short Doff - Restring
37,143000143,2023-06-12 00:01:43.800,2023-06-12 00:05:28.800,2,Short Doff - Restring
38,143000171,2023-06-12 00:02:09.800,2023-06-12 00:03:09.800,2,Step Change Amp Mag
39,143000170,2023-06-12 00:02:50.200,2023-06-12 00:12:50.200,2,Step Change Amp Mag
40,143000014,2023-06-12 00:03:30.600,2023-06-12 00:21:55.600,1,Process Instability Amp Mag (Package)
41,143000013,2023-06-12 00:03:30.600,2023-06-12 00:21:55.600,1,Process Instability Amp Mag (Package)
42,143000014,2023-06-12 00:03:30.600,2023-06-12 00:22:05.600,1,Amp Mag Drift
43,143000018,2023-06-12 00:03:31.400,2023-06-12 00:21:56.400,2,Process Instability Amp Mag (Package)
44,143000017,2023-06-12 00:03:31.400,2023-06-12 00:21:56.400,2,Process Instability Amp Mag (Package)
45,143000018,2023-06-12 00:03:31.400,2023-06-12 00:22:06.400,2,Amp Mag Drift
46,143000017,2023-06-12 00:03:31.400,2023-06-12 00:22:06.400,2,Amp Mag Drift
47,143000131,2023-06-12 00:04:47.200,2023-06-12 00:07:42.200,2,Short Doff - Restring
48,143000130,2023-06-12 00:04:47.200,2023-06-12 00:07:42.200,2,Short Doff - Restring
49,143000135,2023-06-12 00:05:02.200,2023-06-12 00:07:42.200,2,Short Doff - Restring
50,143000134,2023-06-12 00:05:02.200,2023-06-12 00:08:47.200,2,Short Doff - Restring
51,143000095,2023-06-12 00:07:12.600,2023-06-12 00:09:12.600,1,Amp Mag Drift Within Package 
52,143000099,2023-06-12 00:07:14.600,2023-06-12 00:13:14.600,1,Amp Mag Drift Within Package 
53,143000086,2023-06-12 00:11:51.600,2023-06-12 00:25:52.400,2,Process Instability Amp Mag (Package)
54,143000085,2023-06-12 00:11:51.600,2023-06-12 00:25:52.400,2,Process Instability Amp Mag (Package)
